"review_no","product_id","createDate","userNickName","content","grade"
"77277498","5231016","2025-07-30","얼얼한동대문로브","올영에는 작은게 없어서 무신사에서 샀어요!
향은 좀 시원한 향인데 다른사람들 후기에 비누같다고 하는데 이게 비누향인지는 잘 모르겠어요. 특이하긴 한데 뿌려놓고 살짝 날아가면 향 괜찮아요. 생각보다 진해서 조금씩 자주 뿌리면 좋을 것 같아요.","5"
"77260822","5231016","2025-07-30","빈비니닝","사이즈가 미니라서 휴대성이 좋아요 같이 주는 샘플들도 부담없이 쓰기 좋습니다","5"
"77138110","5231016","2025-07-25","기쁜민트점프수트","샤워하고난후 너무좋아요
계속 생각나는 향입니다 사계절내내쓰기좋을듯요","5"
"77129279","5231016","2025-07-25","무무~","진짜 쪼그매요 ㅋㅋ 치실크기! 휴대용 ㅆㄱㄴ
큰 용량은 부담돼서 못 샀는데 작은 크기로 출시돼서 바로 질렀어요!","5"
"77127937","5231016","2025-07-25","Idisso","향기가 특이하게 좋아요
아직 배송온지 얼마 안돼서 숙성시켜봐야겠지만 비누향 + 약간 톡 쏘는 향이 있어용","5"
"77091821","5231016","2025-07-24","단순한오치드진주","너무예쁘고 향기도좋아요
패키지 취향저격입니다ㅎㅎ또살거에요","5"
"77049291","5231016","2025-07-23","hye-ji-","바디로션이랑 같이 구매했는데 바디로션 바르고 뿌려주면 두배로 행복합니다!","5"
"77036880","5231016","2025-07-22","장마엔크림숄더백","작고귀엽고 향도좋습니당
배송은 거의 쿠팡급으로 왔어요","5"
"76889569","5231016","2025-07-17","리락쿠마줄이면","기존 것은 양이 부담스러워서 구매를 망설였는데, 적은 용량이 나와서 바로 구매했습니다 향 너무 좋아요!","5"
"76829265","5231016","2025-07-15","깔끔한성수코디맵","냄새너무좋아요 향수 하나다 쓰기어려운데 10미리라 딱 쓰기좋은 양에 포장도 좋았습니다~~!! 배송도 빨랐어요!!!
추천추천 올영에서 냄새맡아보고 너무 향이 강하게남아서
큰거사려다가 다못쓸거같아서 10미리잇길래 구매했는데 넘좋💓","5"
"54377930","4902824","2024-01-13","포키네나라","향 좋아용 포근하고 달달한향입니다! 처음 배송왔을때 용기 불량이였어요","5"
"53680971","4902824","2023-12-26","7ㅣ염둥이","연한 향은 아니지만 포근한 느낌의 향이에요
무난하게 뿌리긴 좋아요","4"
"52763536","4902824","2023-12-07","화사한동묘의상","향이 은은하고 좋고 향기도 오래가서 한 번 뿌리고 나가면 5~7시간은 향이남","5"
"52561235","4902824","2023-12-04","뉴비_언7d7c7357ae7","기존 샤* 향수를 사용해왔는데 메모리향이랑 거의 비슷하네요. 50ml나 되서 실내랑 옷에도 아낌없이 쓰고 있어요","5"
"51025409","4902824","2023-11-22","리기릿","레이어드 하기도 좋고 이거만으로도 쓰기 좋아용~~
향이 진짜 오래가고 탑노트는 상콤하고 베이스가 묵~직한 파우더향이나요

베이스가 파우더향이 나서 그런지 친구가 아기궁둥이향이 난대요ㅋㅋ
","5"
"50852403","4902824","2023-11-08","패션충혁","향이 아주 마음에 들어요 꾸민날에 향수로 포인트 주고 좋아요","5"
"49000062","4902824","2023-10-01","손민수민손","친구 선물로 줬더니 매우 좋아하네요
통이 이뻐요","5"
